Symbol,Name,ttp_tradable,base_symbol_tradable
GIS,General Mills,True,
GM,General Motors,True,
GPC,Genuine Parts Company,False,
GILD,Gilead Sciences,True,
GPN,Global Payments,False,
GL,Globe Life,False,
GDDY,GoDaddy,False,
GS,Goldman Sachs,True,
HAL,Halliburton,True,
HIG,Hartford (The),False,
HAS,Hasbro,False,
HCA,HCA Healthcare,False,
DOC,Healthpeak Properties,False,
HSIC,Henry Schein,False,
HSY,Hershey Company (The),False,
HPE,Hewlett Packard Enterprise,False,
HLT,Hilton Worldwide,False,
HD,Home Depot (The),True,
HONA,Honeywell Aerospace,False,
HON,Honeywell Technologies,True,
HRL,Hormel Foods,True,
HST,Host Hotels & Resorts,False,
HWM,Howmet Aerospace,False,
HPQ,HP Inc.,False,
HUBB,Hubbell Incorporated,False,
HUM,Humana,False,
HBAN,Huntington Bancshares,False,
HII,Huntington Ingalls Industries,False,
IBM,IBM,True,
IEX,IDEX Corporation,False,
IDXX,Idexx Laboratories,False,
ITW,Illinois Tool Works,True,
INCY,Incyte,True,
IR,Ingersoll Rand,False,
PODD,Insulet Corporation,False,
INTC,Intel,True,
IBKR,Interactive Brokers,True,
ICE,Intercontinental Exchange,False,
IFF,International Flavors & Fragrances,True,
IP,International Paper,False,
INTU,Intuit,False,
ISRG,Intuitive Surgical,True,
IVZ,Invesco,True,
INVH,Invitation Homes,True,
IQV,IQVIA,True,
IRM,Iron Mountain,True,
JBHT,J.B. Hunt,False,
JBL,Jabil,False,
JKHY,Jack Henry & Associates,False,
J,Jacobs Solutions,False,
JNJ,Johnson & Johnson,True,
JCI,Johnson Controls,False,
JPM,JPMorgan Chase,True,
KVUE,Kenvue,False,
KDP,Keurig Dr Pepper,False,
KEY,KeyCorp,False,
KEYS,Keysight Technologies,False,
KMB,Kimberly-Clark,False,
KIM,Kimco Realty,False,
KMI,Kinder Morgan,False,
KKR,KKR & Co.,False,
KLAC,KLA Corporation,False,
KHC,Kraft Heinz,False,
KR,Kroger,False,
LHX,L3Harris,False,
LH,Labcorp,False,
LRCX,Lam Research,True,
LVS,Las Vegas Sands,True,
LDOS,Leidos,True,
LEN,Lennar,True,
LII,Lennox International,False,
LLY,Lilly (Eli),True,
LIN,Linde plc,False,
LYV,Live Nation Entertainment,False,
LMT,Lockheed Martin,True,
L,Loews Corporation,False,
LOW,Lowe's,True,
LULU,Lululemon Athletica,False,
LITE,Lumentum,True,
LYB,LyondellBasell,False,
MTB,M&T Bank,False,
MPC,Marathon Petroleum,True,
MAR,Marriott International,True,
MRSH,Marsh McLennan,False,
MLM,Martin Marietta Materials,False,
MRVL,Marvell Technology,True,
MAS,Masco,False,
MA,Mastercard,True,
MKC,McCormick & Company,False,
MCD,McDonald's,True,
MCK,McKesson Corporation,False,
MDT,Medtronic,False,
MRK,Merck & Co.,True,
META,Meta Platforms,True,
MET,MetLife,False,
MTD,Mettler Toledo,False,
MGM,MGM Resorts,False,
MCHP,Microchip Technology,False,
MU,Micron Technology,True,
MSFT,Microsoft,True,
MAA,Mid-America Apartment Communities,False,
MRNA,Moderna,True,
TAP,Molson Coors Beverage Company,False,
MDLZ,Mondelez International,True,
MPWR,Monolithic Power Systems,True,
MNST,Monster Beverage,True,
MCO,Moody's Corporation,True,
MS,Morgan Stanley,True,
MOS,Mosaic Company (The),True,
MSI,Motorola Solutions,True,
MSCI,MSCI Inc.,True,
NDAQ,"Nasdaq, Inc.",True,
NTAP,NetApp,False,
NFLX,Netflix,True,
NEM,Newmont,True,
NWSA,News Corp (Class A),True,
NWS,News Corp (Class B),False,
NEE,NextEra Energy,True,
NKE,"Nike, Inc.",True,
NI,NiSource,True,
NDSN,Nordson Corporation,False,
NSC,Norfolk Southern,False,
NTRS,Northern Trust,False,
NOC,Northrop Grumman,False,
NCLH,Norwegian Cruise Line Holdings,False,
NRG,NRG Energy,False,
NUE,Nucor,True,
NVDA,Nvidia,True,
NVR,"NVR, Inc.",False,
NXPI,NXP Semiconductors,False,
ORLY,O’Reilly Automotive,True,
OXY,Occidental Petroleum,True,
ODFL,Old Dominion,False,
OMC,Omnicom Group,False,
ON,ON Semiconductor,False,
OKE,Oneok,False,
ORCL,Oracle Corporation,True,
OTIS,Otis Worldwide,False,
PCAR,Paccar,False,
PKG,Packaging Corporation of America,False,
PLTR,Palantir Technologies,True,
PANW,Palo Alto Networks,False,
PSKY,Paramount Skydance Corporation,False,
PH,Parker Hannifin,False,
PAYX,Paychex,True,
PYPL,PayPal,True,
PNR,Pentair,False,
PEP,PepsiCo,True,
PFE,Pfizer,True,
PCG,PG&E Corporation,False,
PM,Philip Morris International,False,
PSX,Phillips 66,True,
PNW,Pinnacle West Capital,False,
PNC,PNC Financial Services,False,
PPG,PPG Industries,False,
PPL,PPL Corporation,False,
PFG,Principal Financial Group,False,
PG,Procter & Gamble,True,
PGR,Progressive Corporation,False,
PLD,Prologis,True,
PRU,Prudential Financial,False,
PEG,Public Service Enterprise Group,False,
PTC,PTC Inc.,True,
PSA,Public Storage,False,
PHM,PulteGroup,False,
PWR,Quanta Services,False,
QCOM,Qualcomm,True,
DGX,Quest Diagnostics,False,
Q,Qnity Electronics,False,
RL,Ralph Lauren Corporation,True,
RJF,Raymond James Financial,False,
RTX,RTX Corporation,True,
O,Realty Income,False,
REG,Regency Centers,True,
REGN,Regeneron Pharmaceuticals,True,
RF,Regions Financial Corporation,False,
RSG,Republic Services,False,
RMD,ResMed,False,
RVTY,Revvity,False,
HOOD,Robinhood Markets,True,
ROK,Rockwell Automation,True,
ROL,"Rollins, Inc.",False,
ROP,Roper Technologies,False,
ROST,Ross Stores,False,
RCL,Royal Caribbean Group,True,
SPGI,S&P Global,False,
CRM,Salesforce,True,
SNDK,Sandisk,False,
SBAC,SBA Communications,True,
SLB,Schlumberger,True,
STX,Seagate Technology,True,
SRE,Sempra,False,
NOW,ServiceNow,False,
SHW,Sherwin-Williams,True,
SPG,Simon Property Group,True,
SWKS,Skyworks Solutions,True,
SJM,J.M. Smucker Company (The),False,
SW,Smurfit Westrock,False,
SNA,Snap-on,False,
SOLV,Solventum,False,
SO,Southern Company,False,
LUV,Southwest Airlines,True,
SWK,Stanley Black & Decker,False,
SBUX,Starbucks,True,
STT,State Street Corporation,True,
STLD,Steel Dynamics,False,
STE,Steris,False,
SYK,Stryker Corporation,False,
SMCI,Supermicro,False,
SYF,Synchrony Financial,True,
SNPS,Synopsys,False,
SYY,Sysco,True,
TMUS,T-Mobile US,True,
TROW,T. Rowe Price,True,
TTWO,Take-Two Interactive,True,
TPR,"Tapestry, Inc.",True,
TRGP,Targa Resources,True,
TGT,Target Corporation,False,
TEL,TE Connectivity,False,
TDY,Teledyne Technologies,False,
TER,Teradyne,False,
TSLA,"Tesla, Inc.",True,
TXN,Texas Instruments,False,
TPL,Texas Pacific Land Corporation,False,
TXT,Textron,True,
TMO,Thermo Fisher Scientific,True,
TJX,TJX Companies,True,
TKO,TKO Group Holdings,False,
TTD,Trade Desk (The),False,
TSCO,Tractor Supply,True,
TT,Trane Technologies,False,
TDG,TransDigm Group,False,
TRV,Travelers Companies (The),True,
TRMB,Trimble Inc.,True,
TFC,Truist Financial,False,
TYL,Tyler Technologies,False,
TSN,Tyson Foods,True,
USB,U.S. Bancorp,False,
UBER,Uber,True,
UDR,"UDR, Inc.",False,
ULTA,Ulta Beauty,False,
UNP,Union Pacific Corporation,True,
UAL,United Airlines Holdings,True,
UPS,United Parcel Service,True,
URI,United Rentals,True,
UNH,UnitedHealth Group,True,
UHS,Universal Health Services,True,
VLO,Valero Energy,False,
VEEV,Veeva Systems,False,
VTR,Ventas,False,
VLTO,Veralto,False,
VRSN,Verisign,True,
VRSK,Verisk Analytics,True,
VZ,Verizon,True,
VRTX,Vertex Pharmaceuticals,True,
VRT,Vertiv,False,
VTRS,Viatris,False,
VICI,Vici Properties,True,
V,Visa Inc.,True,
VST,Vistra Corp.,True,
VMC,Vulcan Materials Company,False,
WRB,W. R. Berkley Corporation,False,
GWW,W. W. Grainger,False,
WAB,Wabtec,False,
WMT,Walmart,True,
DIS,Walt Disney Company (The),True,
WBD,Warner Bros. Discovery,True,
WM,Waste Management,True,
WAT,Waters Corporation,False,
WEC,WEC Energy Group,False,
WFC,Wells Fargo,True,
WELL,Welltower,True,
WST,West Pharmaceutical Services,False,
WDC,Western Digital,True,
WY,Weyerhaeuser,True,
WSM,"Williams-Sonoma, Inc.",False,
WMB,Williams Companies,False,
WTW,Willis Towers Watson,False,
WDAY,"Workday, Inc.",False,
WYNN,Wynn Resorts,False,
XEL,Xcel Energy,False,
XYL,Xylem Inc.,False,
YUM,Yum! Brands,False,
ZBRA,Zebra Technologies,False,
ZBH,Zimmer Biomet,True,
ZTS,Zoetis,False,
